Field Year,Original sample no,Feature,Period,Feature Type,Light fraction wt.,Charcoal (g),Vol,Total Seed no,Total Seed Density,Millets,Luxury cereal,Bean,Millet %,LC %,Bean %,Foxtail millet,Broomcorn millet,Rice,Wheat,Barley,Beefsteak plant,soybean,azuki,Greenfoxtail,Other Setaria,Panic grass,Panic/manna,Echinocloa,Paniceae,Other grass,Kummerowia sp.,Lespedeza or Melilotus sp.,OtherWild  bean,Chenopod,Knotweed,Sorrel,Mosla,Mustard,Nightshade,Perslane,"Spurge, Borage",Hydrocharitaceae,Gailum sp.,viola sp.,Eleusine,Fimbristylis sp.,Burlush,Sedge,Bramble,Plum,hackberry,Chinese date,berry,grape,other rose family,Unknown seed,Nut,Tuber,Other vegetative,04 mm Done %,0.2mm Done %
2002,219,Ter2 Unit 8 Profile2,Erlitou,Ditch,,0.38,9,28,3.11,6,1,8,21%,4%,29%,6,,1,,,,2,,,1,,,,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,8,,,,,
2002,220,Ter2 Unit38 TP1 Cont5 Spit2,Erlitou,Ditch,,0.26,4,6,1.50,1,0,1,17%,0%,17%,,1,,,,,,,,,1,,,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2002,227,Ter2 Profile7 Unit23 Ash ditch 2,Erlitou,Ditch,,0.02,3,11,3.67,3,1,0,27%,9%,0%,3,,1,,,,,,,,,,,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,250,Ter2 Profile9 Unit29 Ash ditch3,Erlitou,Ditch,,0.91,4,85,21.25,27,0,1,32%,0%,1%,25,2,,,,,,,,15,,,,27,1,,,1,5,,,,,,,,,,,,,,,,1,,,,,1,7,,,,,
2002,255,Ter2 Unit31 Profile9 Ash ditch5,Erlitou,Ditch,,0.09,6,29,4.83,11,0,0,38%,0%,0%,10,1,,,,,,,,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
2000,23,F3 Layer 2R,Erlitou,House,,0.78,3,5,1.67,5,0,0,100%,0%,0%,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,18,sample 1&2 Layer 4,Erlitou,House,,8.78,14,369,26.17,274,1,1,74%,0%,0%,268,6,1,,,,1,,,49,,12,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2000,26,Sample III Layer 4,Erlitou,House,,0.93,9,118,12.97,37,0,1,31%,0%,1%,35,2,,,,,,,,33,,1,,31,,1,,,13,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2000,27,Sample II Layer  5,Erlitou,House,,1.27,9,296,34.42,179,1,6,60%,0%,2%,174,5,1,,,,1,,,56,,,,53,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2002,173,Ter2 TP2 Con2 spit 2,Erlitou,House,,0.04,2,11,5.50,0,0,1,0%,0%,9%,,,,,,,,,,,,,,6,2,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2002,175,Ter2 TP1 Unit38 Con3,Erlitou,House,,0.07,13,16,1.23,2,0,1,13%,0%,6%,2,,,,,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,10,,,,,
2002,198,Ter2 TP2 Cont2 Spit3,Erlitou,House,,0.50,15,45,3.00,9,0,0,20%,0%,0%,9,,,,,,,,,6,3,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
2002,199,Ter2 TP1 Unit38 Con9B Spit4,Erlitou,House,,0.16,6,34,5.67,8,0,1,24%,0%,3%,8,,,,,,1,,,5,,,,14,,,,,2,,,,,,,,,,,,,,,,,,,,,,4,,,,,
2002,200,Ter 2 TP1 Unit38 Con12,Erlitou,House,,0.90,8,21,2.63,3,0,1,14%,0%,5%,3,,,,,,,,,2,2,,,9,,,,1,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2002,201,Ter2 TP1 Unit38 Con11,Erlitou,House,,0.06,5,23,4.60,1,0,2,4%,0%,9%,,1,,,,,,,,3,2,,,9,,,,2,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,
2002,202,TEr2 TP1 Unit38 Con13,Erlitou,House,,0.14,1,50,50.00,18,0,2,36%,0%,4%,13,5,,,,,,,,,14,,,13,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
2002,222,Ter2 TP1 Unit38 Cont9A,Erlitou,House,,0.09,3,18,6.00,4,0,0,22%,0%,0%,4,,,,,,,,,4,,,1,8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,223,Ter2 Unit38 Cont9B,Erlitou,House,,0.12,5,7,1.40,1,0,0,14%,0%,0%,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
2002,224,Ter2 TP1 Cont2,Erlitou,House,,0.14,5,57,11.40,1,0,5,2%,0%,9%,1,,,,,,,,,2,2,,,,2,,,5,34,1,,,,,,,,,,,,,,,,,,,,,10,,,,,
2002,225,TEr2 TP1 Unit38 Cont5,Erlitou,House,,,6,42,7.00,3,0,0,7%,0%,0%,3,,,,,,,,,7,,,,3,,,,,21,,,,,,,,,,,,,,1,,,,,,,,7,,,,,
2002,168,Ter2 Profile 12 Unit38,Erlitou,House,,0.01,2,8,4.00,1,0,0,13%,0%,0%,1,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2002,170,Ter 2 TP 1 Cont9A Spit3,Erlitou,House,,0.11,6,26,4.33,6,0,1,23%,0%,4%,5,1,,,,,,,,4,,,,11,1,,,1,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2002,171,Ter2 Unit38 TP1 Cont 9B Spit 3,Erlitou,House,,0.01,1,28,28.00,9,0,3,32%,0%,11%,9,,,,,,,,,,,,,2,1,,,3,11,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
2002,172,Ter2 TP1 Cont9A Spit4,Erlitou,House,,0.11,10,31,3.10,7,0,0,23%,0%,0%,7,,,,,,,,,5,2,1,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2002,168,Ter2 Profile 12 Unit38,Erlitou,House,,0.01,2,8,4.00,1,0,0,13%,0%,0%,1,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2002,170,Ter 2 TP 1 Cont9A Spit3,Erlitou,House,,0.11,6,26,4.33,6,0,1,23%,0%,4%,5,1,,,,,,,,4,,,,11,1,,,1,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2002,171,Ter2 Unit38 TP1 Cont 9B Spit 3,Erlitou,House,,0.01,1,28,28.00,9,0,3,32%,0%,11%,9,,,,,,,,,,,,,2,1,,,3,11,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
2002,172,Ter2 TP1 Cont9A Spit4,Erlitou,House,,0.11,10,31,3.10,7,0,0,23%,0%,0%,7,,,,,,,,,5,2,1,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2002,168,Ter2 Profile 12 Unit38,Erlitou,House,,0.01,2,8,4.00,1,0,0,13%,0%,0%,1,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2002,170,Ter 2 TP 1 Cont9A Spit3,Erlitou,House,,0.11,6,26,4.33,6,0,1,23%,0%,4%,5,1,,,,,,,,4,,,,11,1,,,1,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2002,171,Ter2 Unit38 TP1 Cont 9B Spit 3,Erlitou,House,,0.01,1,28,28.00,9,0,3,32%,0%,11%,9,,,,,,,,,,,,,2,1,,,3,11,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
2002,172,Ter2 TP1 Cont9A Spit4,Erlitou,House,,0.11,10,31,3.10,7,0,0,23%,0%,0%,7,,,,,,,,,5,2,1,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2002,263,Ter2 unit38 TP1 Cont9B Spit 3,Erlitou,House,,0.09,8,10,1.25,1,0,1,10%,0%,10%,,1,,,,,1,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,4,,,,,
2002,75,T103 F1,Erlitou,House,,0.78,7,311,44.43,83,6,0,27%,2%,0%,80,3,6,,,,,,,44,1,,,138,,,,,2,1,,,30,,,,,,,,,,,,,,,,,,6,,,,,
2002,134,T103 F1 layer 4,Erlitou,House,,1.34,5,144,28.80,47,0,0,33%,0%,0%,45,2,,,,,,,,23,5,2,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
2002,156,T103F1,Erlitou,House,,0.87,6,19,3.17,7,1,0,37%,5%,0%,6,1,1,,,,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2002,158,T103 F1,Erlitou,House,,1.00,6,86,14.33,40,0,1,47%,0%,1%,38,2,,,,,,,,17,14,,,6,,,,1,,,,,,,,,,,,,,,1,,,,,,,,7,,,,,
2002,296,T103 F1 layer 8,Erlitou,House,,2.88,8,31,3.88,1,0,0,3%,0%,0%,1,,,,,,,,,,,,,9,,,,,1,,,,,,,,,,,,,,1,,,,,,,,19,,,,,
2002,297,T103 F1 layer 8,Erlitou,House,,0.48,4,68,17.00,17,1,0,25%,1%,0%,17,,1,,,,,,,15,,,,34,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2002,312,T103 F1 layer 6,Erlitou,House,,0.28,5,259,51.80,107,2,1,41%,1%,0%,105,2,2,,,,1,,,63,,,,59,,,,,3,,,,16,,,,,,,,,,1,,,,,,,,7,,,,,
2002,321,T103F1 layer 9,Erlitou,House,,0.10,6,44,7.33,18,1,0,41%,2%,0%,15,3,1,,,,,,,4,,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
2002,331,T103 F1 layer 7,Erlitou,House,,0.15,1,24,24.00,15,1,0,63%,4%,0%,15,,1,,,,,,,4,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,350,T103 F1 layer 8,Erlitou,House,,0.11,7,61,8.71,37,5,0,61%,8%,0%,34,3,5,,,,,,,5,,1,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2002,352,T203 F1 layer 10,Erlitou,House,,0.46,2,13,6.50,9,0,0,69%,0%,0%,9,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,363,T103F1 layer 8,Erlitou,House,,0.30,5,7,1.40,0,0,0,0%,0%,0%,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
